onset	duration	"“text"""	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	stop_acc	SS_delay	adaptive_acc	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	6	92772	0.0-6.0	beast_fmri_test	273	81896,/,82572,/,83254,/,83933,/,84613,/,85292,/,85972,/,86650,/,87331,/,88011,/,88691,/,89371,/,90049,/,90729,/,91409,/,92089,/,92767,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""block-text"">Your delay is 2 trials.</p><p class = block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11378	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	7	93274	0.0-7.0-0.0	beast_fmri_test	273	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
10238.102221318462	temp_go_duration	n/a	-1	-1	2750	1144.89777868	stim	stop-signal	8	96029	0.0-7.0-1.0	beast_fmri_test	273	93449,/,94128,/,94807,/,95486,/,96166,/,96846,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	-1.0	2.0	0.0	stop	temp-non-target	P	89,Middle Finger	71,Index Finger	500.0	500.0	0.0	0.0	0.0	1.0	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	-1	-1	2750	1144.89777868	stim	stop-signal	8	96029	0.0-7.0-1.0	beast_fmri_test	273	93449,/,94128,/,94807,/,95486,/,96166,/,96846,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	-1.0	2.0	0.0	stop	temp-non-target	P	89,Middle Finger	71,Index Finger	500.0	500.0	0.0	0.0	0.0	1.0	n/a	n/a	stop_stim
12988.102221318462	1144.8977786815306	n/a	-1	-1	2750	1144.89777868	stim	stop-signal	8	96029	0.0-7.0-1.0	beast_fmri_test	273	93449,/,94128,/,94807,/,95486,/,96166,/,96846,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	-1.0	2.0	0.0	stop	temp-non-target	P	89,Middle Finger	71,Index Finger	500.0	500.0	0.0	0.0	0.0	1.0	n/a	n/a	ITI
15788	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	9	97684	0.0-7.1-0.1	beast_fmri_test	273	97527,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
14739.466695207288	temp_go_duration	n/a	-1	-1	2750	1051.53330479	stim	stop-signal	10	100437	0.0-7.1-1.1	beast_fmri_test	273	98206,/,98886,/,99564,/,100244,/,100924,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	stop	-1.0	2.0	1.0	stop	temp-non-target	D	89,Middle Finger	71,Index Finger	500.0	500.0	0.0	0.0	0.0	1.0	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	-1	-1	2750	1051.53330479	stim	stop-signal	10	100437	0.0-7.1-1.1	beast_fmri_test	273	98206,/,98886,/,99564,/,100244,/,100924,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	stop	-1.0	2.0	1.0	stop	temp-non-target	D	89,Middle Finger	71,Index Finger	500.0	500.0	0.0	0.0	0.0	1.0	n/a	n/a	stop_stim
17489.466695207288	1051.5333047927131	n/a	-1	-1	2750	1051.53330479	stim	stop-signal	10	100437	0.0-7.1-1.1	beast_fmri_test	273	98206,/,98886,/,99564,/,100244,/,100924,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	stop	-1.0	2.0	1.0	stop	temp-non-target	D	89,Middle Finger	71,Index Finger	500.0	500.0	0.0	0.0	0.0	1.0	n/a	n/a	ITI
20097	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	11	101993	0.0-7.2-0.2	beast_fmri_test	273	101604,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
