onset	duration	"“text"""	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	stop_acc	SS_delay	adaptive_acc	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	200	607889	0.0-12.0	beast_fmri_test	273	597013,/,597691,/,598371,/,599051,/,599729,/,600409,/,601089,/,601770,/,602448,/,603129,/,603809,/,604489,/,605167,/,605847,/,606526,/,607206,/,607886,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""block-text"">Your delay is 2 trials.</p><p class = block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11378	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	201	608391	0.0-13.0-0.0	beast_fmri_test	273	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
9637.1359804846579	2750	n/a	-1	-1	2750	1741.86401952	stim	stop-signal	202	611142	0.0-13.0-1.0	beast_fmri_test	273	608566,/,609246,/,609925,/,610605,/,611285,/,611965,/,612643,/	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	T	89,Middle Finger	71,Index Finger	400.0	700.0	2350.0	2100.0	0.0	n/a	n/a	n/a	go_stim
12387.135980484658	1741.8640195154001	n/a	-1	-1	2750	1741.86401952	stim	stop-signal	202	611142	0.0-13.0-1.0	beast_fmri_test	273	608566,/,609246,/,609925,/,610605,/,611285,/,611965,/,612643,/	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	T	89,Middle Finger	71,Index Finger	400.0	700.0	2350.0	2100.0	0.0	n/a	n/a	n/a	ITI
16397	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	203	613410	0.0-13.1-0.1	beast_fmri_test	273	613324,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
16327.437077031238	temp_go_duration	n/a	-1	-1	2750	70.5629229688	stim	stop-signal	204	616161	0.0-13.1-1.1	beast_fmri_test	273	614004,/,614682,/,615362,/,616043,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	stop	-1.0	2.0	1.0	stop	temp-non-target	T	89,Middle Finger	71,Index Finger	400.0	700.0	2350.0	2100.0	0.0	1.0	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	-1	-1	2750	70.5629229688	stim	stop-signal	204	616161	0.0-13.1-1.1	beast_fmri_test	273	614004,/,614682,/,615362,/,616043,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	stop	-1.0	2.0	1.0	stop	temp-non-target	T	89,Middle Finger	71,Index Finger	400.0	700.0	2350.0	2100.0	0.0	1.0	n/a	n/a	stop_stim
19077.437077031238	70.562922968753625	n/a	-1	-1	2750	70.5629229688	stim	stop-signal	204	616161	0.0-13.1-1.1	beast_fmri_test	273	614004,/,614682,/,615362,/,616043,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	stop	-1.0	2.0	1.0	stop	temp-non-target	T	89,Middle Finger	71,Index Finger	400.0	700.0	2350.0	2100.0	0.0	1.0	n/a	n/a	ITI
19746	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	205	616759	0.0-13.2-0.2	beast_fmri_test	273	616724,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
19303.957024183357	2750	n/a	811	71	2750	444.042975817	stim	stop-signal	206	619511	0.0-13.2-1.2	beast_fmri_test	273	617402,/,618082,/,618762,/,619441,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	2050.0	2.0	2.0	go	non-target	P	89,Middle Finger	71,Index Finger	400.0	700.0	2350.0	2050.0	1.0	n/a	700.0	1.0	go_stim
