onset	duration	ttttttttttttttttttt	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	stop_acc	SS_delay	adaptive_acc	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	200	581460	0.0-12.0	beast_fmri_test	386	570580,/,571259,/,571939,/,572619,/,573299,/,573979,/,574659,/,575339,/,576019,/,576699,/,577379,/,578059,/,578739,/,579419,/,580098,/,580779,/,581459,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox2_2""><p class = ""block-text2"">Your delay is 2 trials.</p><p class = block-text2>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11383	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	201	581963	0.0-13.0-0.0	beast_fmri_test	386	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
11223.711474800017	2750	n/a	764	89	2750	161.2885252	stim	stop-signal	202	584715	0.0-13.0-1.0	beast_fmri_test	386	582139,/,582818,/,583499,/,584178,/,584858,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	V	71,Index Finger	89,Middle Finger	700.0	1000.0	2050.0	1750.0	0.0	n/a	n/a	n/a	go_stim
13973.711474800017	161.28852519999998	n/a	764	89	2750	161.2885252	stim	stop-signal	202	584715	0.0-13.0-1.0	beast_fmri_test	386	582139,/,582818,/,583499,/,584178,/,584858,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	V	71,Index Finger	89,Middle Finger	700.0	1000.0	2050.0	1750.0	0.0	n/a	n/a	n/a	ITI
14803	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	203	585383	0.0-13.1-0.1	beast_fmri_test	386	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
11562.145033000037	temp_go_duration	n/a	622	89	2750	3242.854967	stim	stop-signal	204	588135	0.0-13.1-1.1	beast_fmri_test	386	585538,/,586219,/,586898,/,587579,/,588258,/,588938,/,589618,/,590298,/,590979,/	t,t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	stop	-1.0	2.0	1.0	stop	temp-non-target	B	71,Index Finger	89,Middle Finger	700.0	1000.0	2050.0	1750.0	0.0	0.0	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	622	89	2750	3242.854967	stim	stop-signal	204	588135	0.0-13.1-1.1	beast_fmri_test	386	585538,/,586219,/,586898,/,587579,/,588258,/,588938,/,589618,/,590298,/,590979,/	t,t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	stop	-1.0	2.0	1.0	stop	temp-non-target	B	71,Index Finger	89,Middle Finger	700.0	1000.0	2050.0	1750.0	0.0	0.0	n/a	n/a	stop_stim
14312.145033000037	3242.8549670000002	n/a	622	89	2750	3242.854967	stim	stop-signal	204	588135	0.0-13.1-1.1	beast_fmri_test	386	585538,/,586219,/,586898,/,587579,/,588258,/,588938,/,589618,/,590298,/,590979,/	t,t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	stop	-1.0	2.0	1.0	stop	temp-non-target	B	71,Index Finger	89,Middle Finger	700.0	1000.0	2050.0	1750.0	0.0	0.0	n/a	n/a	ITI
21306	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	205	591886	0.0-13.2-0.2	beast_fmri_test	386	591658,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
20095.010467999964	2750	n/a	786	89	2750	1212.989532	stim	stop-signal	206	594638	0.0-13.2-1.2	beast_fmri_test	386	592338,/,593018,/,593698,/,594378,/,595058,/,595739,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	1750.0	2.0	2.0	go	non-target	T	71,Index Finger	89,Middle Finger	700.0	1000.0	2050.0	1750.0	1.0	n/a	1000.0	1.0	go_stim
